word,translation
absalutno,absolutely
alamatol,
ašolawl,
aχirulˀa,
aχranɬolojd,
balˀib,
balˀoɬi,
balˀorallo,
belˀora,thin
beqoloɢa,
beqoloɢasːi,
beršolˀa,
bik’osːulˀa,
bik'olˀa,
biloč’ukːu,
bilolˀakːu,
bilolˀakːuχannid,
bilolˀojd,
biloɬol,
bulˀonoq,
buʁalo,
buturulur,
buχːuradolo,
č’alannilo,
č’itulˀo,
c'alˀa,
čalulo,
čalulojd,
ček'alo,
čeleklojd,
čelekʷaq,
čongola,
čwaχːelasː,
darʁilˀa,
darʁilˀo,
dilˀo,
gallˀalojd,
halˀa,
haq’iq’atilˀa,
haq'ilˀa,
haq'illˀalo,
haržula,
hawroχilˀa,
haǯilawšud,
hebrihilˀajd,
hegebrihilo,
hegelˀa,
hegelid,
hegeluɬu,
helč’ulo,
heɬeliɬ,
heɬulo,
hilˀa,upper
hilˀarik’ːuna,
hilˀasːi,
hilˀo,
hilˀolč’ilo,
hinc’olˀa,
hinulo,
hinulogusːi,
hoɢollˀolojd,
horsatilˀa,
hudalojd,
hugalo,
ila,mother
ilajma,
ilajmalɬbolo,
iluʟ,
iʟulojd,
innagulo,
išːalo,
išulo,
iwalo,
iχolˀa,
iχʷalˀaʁojd,
jalˀir,
jiɢoloɢalo,
jiinnologu,
jilˀinno,
k’ek’olo,
k’otulˀajd,
k’otulˀalo,
kalaslojd,
kaleb,
klasilˀo,
kodilo,
kulillˀa,
kulilɬku,
kulilojd,
kurt’alogu,
kutakulˀa,
kutukulˀa,
lˀala,lid
masala,
matulˀaɢojd,
matulˀo,
misalˀa,
misalˀakːu,
mjarulˀa,
mjarulˀolo,
musalaw,
musalawšːur,
nik'alajgu,
oloqan,
petizarjadkalojd,
položenijalo,
primerulˀaɬid,
q’alilo,
q'ali,drum
q'alidi,
ʁadillˀalo,
rejdilojd,
relˀa,hand
reɬoljalogu,
rešinolˀakːu,
rihsːula,
rok'ollˀolojd,
rolˀal,clothes
roq’orallologu,
rulˀondlo,
šːela,
sːorilo,
sːulow,
sːuratulˀa,
sebgulo,
silalʟbo,
soloman,
sorulo,
talulˀalo,
tawsːulo,
t'ebt'elollo,
t'ulugu,
udoblolˀo,
unsalˀo,
uškula,
ust’ulula,
ust'ululˀa,
wohudulojd,
woinnolo,
wok'olˀa,
wolˀinnu,
wolˀon,
wolˀond,
wolˀondil,
wolˀondillo,
wolˀondlo,
woq’dulo,
worč’unnilˀa,
wstrečallilˀohebʁodi,
wuč’oradologu,
wuinnologu,
wulˀom,
wulˀon,
wulˀond,
wulˀondid,
wulˀondlo,
žibgulo,
židulo,
žilˀid,
žiradolo,
zolo,
zologu,
χajrulaʁojd,
